Date,Transaction_Type,Category,Amount,Counterparty,Payment_Status
2024-11-06,Inflow,Sales Revenue,74945.0,Client G,Paid
2024-11-07,Inflow,Subscription,68658.0,Client A,Pending
2024-11-07,Inflow,Sales Revenue,24124.0,Client A,Paid
2024-11-07,Outflow,Cloud & SaaS,32749.0,Supplier U,Paid
2024-11-07,Outflow,Utilities,35154.0,Supplier X,Paid
2024-11-08,Inflow,Investment,20864.0,Client F,Paid
2024-11-08,Inflow,Sales Revenue,23512.0,Client C,Paid
2024-11-08,Outflow,Cloud & SaaS,44044.0,Supplier V,Paid
2024-11-09,Inflow,Sales Revenue,45651.0,Client A,Paid
2024-11-09,Inflow,Sales Revenue,10306.0,Client B,Paid
2024-11-09,Outflow,Utilities,30241.0,Supplier Z,Paid
2024-11-10,Outflow,Vendors,10044.0,Supplier Y,Paid
2024-11-11,Inflow,Subscription,51437.0,Client E,Paid
2024-11-11,Outflow,Utilities,18996.0,Supplier V,Paid
2024-11-11,Outflow,Cloud & SaaS,36482.0,Supplier Y,Paid
2024-11-12,Outflow,Marketing,34769.0,Supplier Z,Paid
2024-11-12,Outflow,Cloud & SaaS,36790.0,Supplier T,Paid
2024-11-13,Outflow,Compliance,29347.0,Supplier Y,Paid
2024-11-14,Outflow,Utilities,32959.0,Supplier Z,Paid
2024-11-15,Inflow,Sales Revenue,19053.0,Client H,Paid
2024-11-15,Inflow,Subscription,76349.0,Client A,Pending
2024-11-15,Outflow,Marketing,38808.0,Supplier U,Paid
2024-11-16,Inflow,Investment,54424.0,Client D,Paid
2024-11-16,Outflow,Vendors,27483.0,Supplier Y,Paid
2024-11-17,Inflow,Subscription,52110.0,Client H,Paid
2024-11-17,Inflow,Subscription,30906.0,Client D,Pending
2024-11-17,Outflow,Rent,13135.0,Supplier X,Paid
2024-11-18,Inflow,Services,49604.0,Client F,Paid
2024-11-18,Outflow,Utilities,40637.0,Supplier T,Paid
2024-11-19,Inflow,Investment,27239.0,Client C,Paid
2024-11-20,Outflow,Utilities,34131.0,Supplier W,Paid
2024-11-21,Inflow,Investment,45891.0,Client F,Paid
2024-11-21,Outflow,Salaries,53752.0,Supplier V,Paid
2024-11-21,Outflow,Cloud & SaaS,51762.0,Supplier U,Paid
2024-11-22,Inflow,Sales Revenue,65990.0,Client C,Paid
2024-11-23,Inflow,Sales Revenue,44589.0,Client A,Paid
2024-11-23,Inflow,Investment,15044.0,Client G,Paid
2024-11-23,Outflow,Salaries,8056.0,Supplier Y,Paid
2024-11-24,Inflow,Sales Revenue,44129.0,Client F,Pending
2024-11-24,Outflow,Vendors,8659.0,Supplier V,Paid
2024-11-25,Outflow,Utilities,50494.0,Supplier U,Paid
2024-11-26,Inflow,Sales Revenue,59642.0,Client B,Paid
2024-11-26,Outflow,Salaries,41765.0,Supplier W,Paid
2024-11-27,Inflow,Sales Revenue,77090.0,Client H,Pending
2024-11-27,Outflow,Marketing,47465.0,Supplier Z,Paid
2024-11-28,Inflow,Services,20084.0,Client G,Pending
2024-11-28,Inflow,Services,74795.0,Client C,Paid
2024-11-28,Outflow,Rent,42122.0,Supplier U,Paid
2024-11-28,Outflow,Cloud & SaaS,33879.0,Supplier Y,Paid
2024-11-29,Inflow,Investment,39242.0,Client H,Paid
2024-11-29,Inflow,Services,77060.0,Client B,Paid
2024-11-30,Inflow,Sales Revenue,55566.0,Client E,Pending
2024-11-30,Inflow,Subscription,69006.0,Client C,Paid
2024-11-30,Outflow,Vendors,50950.0,Supplier X,Paid
2024-11-30,Outflow,Cloud & SaaS,28857.0,Supplier W,Paid
2024-12-01,Inflow,Sales Revenue,31444.0,Client B,Paid
2024-12-01,Inflow,Sales Revenue,75850.0,Client F,Paid
2024-12-03,Outflow,Utilities,59758.0,Supplier U,Paid
2024-12-04,Inflow,Subscription,15888.0,Client B,Paid
2024-12-05,Inflow,Services,54631.0,Client F,Pending
2024-12-05,Inflow,Investment,56914.0,Client G,Paid
2024-12-05,Outflow,Vendors,8195.0,Supplier Z,Paid
2024-12-05,Outflow,Cloud & SaaS,45901.0,Supplier V,Paid
2024-12-06,Inflow,Subscription,69113.0,Client D,Paid
2024-12-06,Outflow,Utilities,47274.0,Supplier U,Paid
2024-12-06,Outflow,Cloud & SaaS,25342.0,Supplier W,Paid
2024-12-07,Inflow,Sales Revenue,51098.0,Client G,Pending
2024-12-07,Inflow,Services,33841.0,Client D,Paid
2024-12-08,Inflow,Sales Revenue,17348.0,Client D,Paid
2024-12-08,Outflow,Utilities,55453.0,Supplier T,Paid
2024-12-09,Inflow,Subscription,10598.0,Client C,Paid
2024-12-11,Inflow,Subscription,58355.0,Client D,Pending
2024-12-11,Outflow,Utilities,12832.0,Supplier W,Paid
2024-12-11,Outflow,Marketing,5402.0,Supplier Y,Paid
2024-12-12,Outflow,Utilities,33920.0,Supplier T,Paid
2024-12-12,Outflow,Vendors,58999.0,Supplier T,Paid
2024-12-13,Inflow,Investment,78933.0,Client F,Paid
2024-12-13,Inflow,Services,46055.0,Client C,Paid
2024-12-13,Outflow,Vendors,39285.0,Supplier W,Paid
2024-12-14,Inflow,Services,17987.0,Client F,Paid
2024-12-14,Inflow,Services,40806.0,Client E,Paid
2024-12-15,Inflow,Sales Revenue,77887.0,Client H,Paid
2024-12-15,Outflow,Vendors,20852.0,Supplier U,Paid
2024-12-16,Inflow,Subscription,54590.0,Client A,Paid
2024-12-16,Inflow,Sales Revenue,30844.0,Client E,Paid
2024-12-16,Outflow,Cloud & SaaS,57979.0,Supplier V,Paid
2024-12-16,Outflow,Compliance,59204.0,Supplier W,Paid
2024-12-17,Outflow,Marketing,18305.0,Supplier X,Paid
2024-12-17,Outflow,Utilities,48652.0,Supplier X,Paid
2024-12-18,Outflow,Vendors,34722.0,Supplier Y,Paid
2024-12-19,Inflow,Sales Revenue,67580.0,Client A,Paid
2024-12-19,Inflow,Investment,36089.0,Client A,Pending
2024-12-19,Outflow,Compliance,11010.0,Supplier T,Paid
2024-12-20,Inflow,Investment,55991.0,Client A,Paid
2024-12-20,Inflow,Services,61790.0,Client D,Paid
2024-12-20,Outflow,Salaries,26000.0,Supplier V,Paid
2024-12-20,Outflow,Salaries,17899.0,Supplier T,Paid
2024-12-21,Outflow,Salaries,29406.0,Supplier V,Paid
2024-12-21,Outflow,Rent,33304.0,Supplier T,Paid
2024-12-22,Inflow,Subscription,63175.0,Client F,Paid
2024-12-23,Inflow,Sales Revenue,27825.0,Client D,Paid
2024-12-23,Outflow,Marketing,33830.0,Supplier U,Paid
2024-12-23,Outflow,Compliance,51933.0,Supplier Z,Paid
2024-12-24,Inflow,Subscription,41428.0,Client A,Pending
2024-12-24,Inflow,Investment,48476.0,Client G,Paid
2024-12-24,Outflow,Salaries,42362.0,Supplier T,Paid
2024-12-25,Inflow,Subscription,60234.0,Client G,Paid
2024-12-25,Outflow,Utilities,59930.0,Supplier Z,Paid
2024-12-26,Inflow,Sales Revenue,47391.0,Client A,Paid
2024-12-26,Inflow,Investment,23068.0,Client G,Paid
2024-12-26,Outflow,Utilities,45408.0,Supplier X,Paid
2024-12-27,Inflow,Sales Revenue,74070.0,Client D,Pending
2024-12-27,Outflow,Salaries,12390.0,Supplier Z,Paid
2024-12-29,Inflow,Sales Revenue,48836.0,Client C,Pending
2024-12-30,Inflow,Subscription,71650.0,Client D,Pending
2024-12-30,Inflow,Investment,72117.0,Client H,Paid
2024-12-30,Outflow,Cloud & SaaS,32671.0,Supplier V,Paid
2024-12-31,Outflow,Marketing,54334.0,Supplier Y,Paid
2025-01-01,Inflow,Investment,72361.0,Client C,Paid
2025-01-02,Inflow,Services,25093.0,Client E,Paid
2025-01-02,Inflow,Subscription,11750.0,Client G,Paid
2025-01-02,Outflow,Marketing,21483.0,Supplier Y,Paid
2025-01-02,Outflow,Marketing,13549.0,Supplier V,Paid
2025-01-04,Outflow,Vendors,18783.0,Supplier T,Paid
2025-01-05,Inflow,Investment,40687.0,Client D,Paid
2025-01-05,Inflow,Services,79629.0,Client F,Pending
2025-01-05,Outflow,Utilities,49805.0,Supplier V,Paid
2025-01-06,Outflow,Rent,30865.0,Supplier Y,Paid
2025-01-06,Outflow,Marketing,35919.0,Supplier X,Paid
2025-01-07,Inflow,Investment,32326.0,Client G,Paid
2025-01-07,Outflow,Cloud & SaaS,56405.0,Supplier X,Paid
2025-01-08,Outflow,Vendors,57787.0,Supplier X,Paid
2025-01-08,Outflow,Salaries,21150.0,Supplier X,Paid
2025-01-09,Outflow,Compliance,8604.0,Supplier W,Paid
2025-01-10,Outflow,Marketing,48458.0,Supplier X,Paid
2025-01-11,Outflow,Utilities,11138.0,Supplier Z,Paid
2025-01-11,Outflow,Salaries,47763.0,Supplier V,Paid
2025-01-12,Inflow,Investment,24491.0,Client C,Pending
2025-01-12,Inflow,Sales Revenue,37588.0,Client D,Paid
2025-01-12,Outflow,Marketing,5091.0,Supplier X,Paid
2025-01-13,Inflow,Sales Revenue,21379.0,Client A,Paid
2025-01-13,Outflow,Cloud & SaaS,20116.0,Supplier X,Paid
2025-01-13,Outflow,Marketing,23320.0,Supplier W,Paid
2025-01-14,Inflow,Investment,42706.0,Client E,Pending
2025-01-14,Outflow,Marketing,17596.0,Supplier T,Paid
2025-01-14,Outflow,Compliance,18336.0,Supplier W,Paid
2025-01-15,Inflow,Sales Revenue,33334.0,Client F,Pending
2025-01-15,Inflow,Investment,27280.0,Client D,Paid
2025-01-15,Outflow,Cloud & SaaS,32212.0,Supplier V,Paid
2025-01-15,Outflow,Rent,44135.0,Supplier Y,Paid
2025-01-16,Inflow,Sales Revenue,32331.0,Client A,Paid
2025-01-18,Inflow,Sales Revenue,67159.0,Client B,Paid
2025-01-18,Inflow,Services,59438.0,Client D,Paid
2025-01-19,Outflow,Utilities,17689.0,Supplier T,Paid
2025-01-20,Inflow,Subscription,10331.0,Client G,Paid
2025-01-20,Inflow,Subscription,53338.0,Client B,Paid
2025-01-20,Outflow,Compliance,47511.0,Supplier U,Paid
2025-01-22,Outflow,Cloud & SaaS,35631.0,Supplier V,Paid
2025-01-22,Outflow,Compliance,38188.0,Supplier V,Paid
2025-01-23,Outflow,Vendors,45377.0,Supplier Y,Paid
2025-01-24,Outflow,Salaries,48956.0,Supplier T,Paid
2025-01-26,Inflow,Subscription,54499.0,Client G,Paid
2025-01-26,Outflow,Salaries,52403.0,Supplier U,Paid
2025-01-27,Inflow,Services,11332.0,Client B,Paid
2025-01-27,Outflow,Vendors,44885.0,Supplier T,Paid
2025-01-28,Outflow,Marketing,50427.0,Supplier X,Paid
2025-01-28,Outflow,Rent,53951.0,Supplier T,Paid
2025-01-30,Inflow,Services,56915.0,Client A,Paid
2025-01-30,Inflow,Services,65605.0,Client A,Paid
2025-02-01,Inflow,Investment,48735.0,Client E,Paid
2025-02-01,Inflow,Sales Revenue,37172.0,Client E,Paid
2025-02-02,Outflow,Cloud & SaaS,27827.0,Supplier Y,Paid
2025-02-02,Outflow,Rent,39198.0,Supplier Y,Paid
2025-02-03,Inflow,Services,41302.0,Client B,Pending
2025-02-03,Inflow,Services,34045.0,Client H,Paid
2025-02-05,Outflow,Rent,13594.0,Supplier U,Paid
2025-02-06,Inflow,Services,27756.0,Client E,Paid
2025-02-06,Inflow,Services,48747.0,Client D,Paid
2025-02-06,Outflow,Cloud & SaaS,42269.0,Supplier U,Paid
2025-02-06,Outflow,Cloud & SaaS,46970.0,Supplier Y,Paid
2025-02-07,Inflow,Sales Revenue,78839.0,Client D,Paid
2025-02-07,Inflow,Investment,46020.0,Client A,Paid
2025-02-07,Outflow,Marketing,48781.0,Supplier W,Paid
2025-02-07,Outflow,Marketing,28540.0,Supplier V,Paid
2025-02-08,Outflow,Utilities,53931.0,Supplier Z,Paid
2025-02-08,Outflow,Utilities,13800.0,Supplier W,Paid
2025-02-09,Outflow,Rent,57885.0,Supplier Y,Paid
2025-02-10,Inflow,Investment,74393.0,Client H,Paid
2025-02-10,Inflow,Sales Revenue,27063.0,Client C,Pending
2025-02-11,Inflow,Investment,55110.0,Client F,Pending
2025-02-11,Inflow,Services,38910.0,Client A,Paid
2025-02-11,Outflow,Vendors,40902.0,Supplier W,Paid
2025-02-11,Outflow,Compliance,48062.0,Supplier W,Paid
2025-02-12,Inflow,Investment,64507.0,Client F,Paid
2025-02-13,Inflow,Sales Revenue,45201.0,Client A,Paid
2025-02-13,Inflow,Services,40171.0,Client D,Paid
2025-02-13,Outflow,Compliance,16569.0,Supplier V,Paid
2025-02-13,Outflow,Vendors,25742.0,Supplier U,Paid
2025-02-14,Inflow,Subscription,54011.0,Client F,Pending
2025-02-14,Inflow,Services,34366.0,Client E,Paid
2025-02-14,Outflow,Marketing,26157.0,Supplier X,Paid
2025-02-14,Outflow,Utilities,38097.0,Supplier V,Paid
2025-02-15,Inflow,Sales Revenue,14737.0,Client C,Pending
2025-02-15,Outflow,Marketing,24947.0,Supplier U,Paid
2025-02-18,Inflow,Sales Revenue,33763.0,Client H,Paid
2025-02-18,Inflow,Sales Revenue,27051.0,Client A,Pending
2025-02-19,Inflow,Subscription,71672.0,Client C,Pending
2025-02-19,Inflow,Investment,24146.0,Client B,Pending
2025-02-19,Outflow,Salaries,33710.0,Supplier W,Paid
2025-02-20,Inflow,Sales Revenue,18957.0,Client A,Pending
2025-02-21,Outflow,Utilities,18461.0,Supplier T,Paid
2025-02-21,Outflow,Compliance,32252.0,Supplier X,Paid
2025-02-24,Outflow,Compliance,21589.0,Supplier U,Paid
2025-02-24,Outflow,Salaries,54590.0,Supplier V,Paid
2025-02-25,Inflow,Investment,34838.0,Client E,Paid
2025-02-25,Outflow,Salaries,27556.0,Supplier V,Paid
2025-02-25,Outflow,Rent,21745.0,Supplier W,Paid
2025-02-26,Inflow,Investment,67154.0,Client F,Paid
2025-02-27,Inflow,Sales Revenue,46469.0,Client A,Pending
2025-02-27,Outflow,Rent,29988.0,Supplier X,Paid
2025-02-28,Inflow,Services,50895.0,Client F,Paid
2025-02-28,Inflow,Investment,30722.0,Client C,Paid
2025-02-28,Outflow,Salaries,27267.0,Supplier U,Paid
2025-03-01,Outflow,Rent,7373.0,Supplier T,Paid
2025-03-01,Outflow,Marketing,56784.0,Supplier X,Paid
2025-03-02,Outflow,Salaries,44970.0,Supplier Z,Paid
2025-03-02,Outflow,Rent,19549.0,Supplier U,Paid
2025-03-03,Inflow,Subscription,55548.0,Client A,Pending
2025-03-05,Inflow,Investment,19386.0,Client E,Paid
2025-03-05,Inflow,Subscription,62295.0,Client E,Paid
2025-03-05,Outflow,Rent,44596.0,Supplier Z,Paid
2025-03-05,Outflow,Marketing,18463.0,Supplier Y,Paid
2025-03-06,Outflow,Compliance,9087.0,Supplier X,Paid
2025-03-06,Outflow,Marketing,47754.0,Supplier W,Paid
2025-03-07,Outflow,Cloud & SaaS,29835.0,Supplier Z,Paid
2025-03-08,Inflow,Subscription,40419.0,Client B,Pending
2025-03-08,Outflow,Rent,11911.0,Supplier V,Paid
2025-03-08,Outflow,Cloud & SaaS,9917.0,Supplier U,Paid
2025-03-09,Inflow,Subscription,21450.0,Client E,Paid
2025-03-09,Inflow,Sales Revenue,24540.0,Client C,Paid
2025-03-10,Outflow,Rent,11542.0,Supplier V,Paid
2025-03-12,Inflow,Subscription,15022.0,Client H,Pending
2025-03-12,Inflow,Services,47004.0,Client F,Paid
2025-03-12,Outflow,Compliance,51182.0,Supplier X,Paid
2025-03-13,Inflow,Subscription,61913.0,Client D,Paid
2025-03-13,Inflow,Investment,20701.0,Client H,Paid
2025-03-13,Outflow,Cloud & SaaS,23776.0,Supplier X,Paid
